Location,Latitude,Longtitude,Base station Height (m),Azimuth (°),Tilt (°)
Canselori,2.928889,101.779722,25,30,2
Canselori,2.928889,101.779722,25,150,2
Canselori,2.928889,101.779722,25,270,5
Kolej Rahim Kajai,2.932778,101.783889,20,0,2
Kolej Rahim Kajai,2.932778,101.783889,20,120,2
Kolej Rahim Kajai,2.932778,101.783889,20,240,2
CRIM,2.927778,101.785556,25,30,8
CRIM,2.927778,101.785556,25,150,3
CRIM,2.927778,101.785556,25,270,5
Kolej Ibu Zain,2.928056,101.783056,20,0,6
Kolej Ibu Zain,2.928056,101.783056,20,120,6
Kolej Ibu Zain,2.928056,101.783056,20,240,6
Kolej Ibrahim Yaakob,2.923611,101.778889,10,30,3
Kolej Ibrahim Yaakob,2.923611,101.778889,10,150,3
Kolej Ibrahim Yaakob,2.923611,101.778889,10,270,3
Pusat Kompos,2.922222,101.775556,20,30,3
Pusat Kompos,2.922222,101.775556,20,150,2
Pusat Kompos,2.922222,101.775556,20,270,3
Flea Market,2.929036,101.765053,20,60,3
Flea Market,2.929036,101.765053,20,180,3
Petronas Sek 3,2.9382627,101.7744514,25,180,2
Petronas Sek 3,2.9382627,101.7744514,25,60,2
Petronas Sek 3,2.9382627,101.7744514,25,300,3
Vista Bangi,2.94481,101.786,20,180,2
S.K. Jalan 4,2.950491,101.780219,25,90,2
S.K. Jalan 4,2.950491,101.780219,25,330,2
S.K. Jalan 4,2.950491,101.780219,25,210,2
Shell Sek 16,2.9431099,101.7656531,20,180,2
Shell Sek 16,2.9431099,101.7656531,20,300,2
Masjid Teras Jernang,2.9261904,101.7579082,25,120,2
